ID,input2_AvgIpc,input2_BCUT2D_CHGHI,input2_BCUT2D_CHGLO,input2_BCUT2D_LOGPHI,input2_BCUT2D_LOGPLOW,input2_BertzCT,input2_Chi0,input2_Chi0n,input2_Chi0v,input2_Chi1,input2_Chi1n,input2_Chi1v,input2_Chi2n,input2_Chi2v,input2_Chi3n,input2_Chi3v,input2_Chi4n,input2_Chi4v,input2_EState_VSA4,input2_EState_VSA5,input2_EState_VSA7,input2_EState_VSA8,input2_ExactMolWt,input2_FpDensityMorgan1,input2_FpDensityMorgan2,input2_FpDensityMorgan3,input2_HallKierAlpha,input2_HeavyAtomCount,input2_HeavyAtomMolWt,input2_Ipc,input2_Kappa1,input2_Kappa2,input2_LabuteASA,input2_MaxAbsEStateIndex,input2_MaxEStateIndex,input2_MinEStateIndex,input2_MolLogP,input2_MolMR,input2_MolWt,input2_NHOHCount,input2_NOCount,input2_NumHAcceptors,input2_NumHDonors,input2_NumHeteroatoms,input2_NumRotatableBonds,input2_NumValenceElectrons,input2_PEOE_VSA1,input2_PEOE_VSA2,input2_PEOE_VSA6,input2_PEOE_VSA7,input2_PEOE_VSA8,input2_Phi,input2_SMR_VSA3,input2_SMR_VSA5,input2_SMR_VSA6,input2_SPS,input2_SlogP_VSA1,input2_SlogP_VSA2,input2_SlogP_VSA5,input2_VSA_EState1,input2_VSA_EState2,input2_VSA_EState3,input2_VSA_EState4,input2_VSA_EState7,input2_VSA_EState8,input2_VSA_EState9,input2_qed,input2_fr_NH0,input2_fr_NH1,input2_fr_Ndealkylation1,input2_fr_unbrch_alkane,S1_repeat,S2_repeat,R_ratio,Target_norm
364,2.593,2.274,-2.261,2.21,-2.376,319.103,19.132,17.481,17.481,11.868,10.445,10.445,7.912,7.912,4.968,4.968,2.681,2.681,19.51,51.367,20.771,18.747,357.324,0.96,1.48,1.92,-0.61,25,314.235,181129.343,24.39,14.548,155.867,12.027,12.027,-0.603,4.789,105.762,357.579,1,4,4,1,4,16,150,14.743,4.795,59.296,46.199,6.545,14.193,4.9,98.51,26.241,13.24,0,48.321,92.406,5.331,14.369,10.293,-0.473,10.011,12.934,0,0.319,1,0,0,6,7,1,7,3.698970004
365,2.257,2.269,-2.212,2.208,-2.34,204.441,12.604,10.877,10.877,7.436,5.996,5.996,4.694,4.694,2.65,2.65,1.016,1.016,19.386,0,20.771,12.241,231.183,1.438,2.062,2.562,-0.61,16,206.136,2263.954,15.39,7.629,98.373,11.577,11.577,-0.622,1.326,64.199,231.336,2,4,4,2,4,8,96,15.16,4.795,13.847,33.234,6.545,7.338,5.317,46.641,19.696,13.562,5.317,36.876,40.537,5.061,11.577,12.593,-0.462,1.133,9.093,0,0.489,0,1,0,0,7,1,7,5.176091259
366,2.311,2.269,-2.212,2.208,-2.341,216.71,13.312,11.584,11.584,7.936,6.496,6.496,5.047,5.047,2.93,2.93,1.141,1.141,25.807,0,20.771,12.241,245.199,1.412,2.059,2.588,-0.61,17,218.147,3754.895,16.39,8.476,104.738,11.623,11.623,-0.622,1.716,68.816,245.363,2,4,4,2,4,9,102,15.16,4.795,20.268,33.234,6.545,8.172,5.317,53.061,19.696,13.471,5.317,36.876,46.957,5.088,11.623,12.717,-0.463,2.331,9.197,0,0.479,0,1,0,1,7,1,7,6.176091259
367,2.393,2.27,-2.212,2.208,-2.341,241.545,14.726,12.998,12.998,8.936,7.496,7.496,5.755,5.755,3.43,3.43,1.516,1.516,19.386,19.262,20.771,12.241,273.23,1.263,1.947,2.526,-0.61,19,242.169,10179.485,18.39,10.21,117.468,11.695,11.695,-0.622,2.497,78.05,273.417,2,4,4,2,4,11,114,15.16,4.795,33.11,33.234,6.545,9.882,5.317,65.903,19.696,13.316,5.317,36.876,59.799,5.126,11.695,12.879,-0.465,4.947,9.307,0,0.448,0,1,0,3,7,1,7,3.698970004
368,2.328,2.272,-2.241,2.209,-2.373,267.417,15.052,13.271,13.271,8.686,6.873,6.873,6.055,6.055,3.295,3.295,1.386,1.386,19.51,0,46.814,4.9,274.226,1.263,1.842,2.316,-0.65,19,244.165,7512.061,18.35,8.507,117.072,11.747,11.747,-0.635,0.82,77.089,274.405,1,5,5,1,5,9,114,19.643,4.795,6.924,41.411,19.634,8.216,9.8,33.296,47.384,13.947,0,74.364,27.192,5.16,15.869,9.84,-0.476,0.091,8.037,5.974,0.631,2,0,2,0,7,1,7,3.698970004
369,2.347,2.272,-2.237,2.209,-2.357,280.292,15.759,13.978,13.978,9.186,7.373,7.373,6.409,6.409,3.511,3.511,1.672,1.672,25.931,0,41.914,9.8,288.241,1.25,1.85,2.35,-0.65,20,256.176,12137.112,19.35,9.316,123.437,11.781,11.781,-0.629,1.21,81.706,288.432,1,5,5,1,5,10,120,19.643,4.795,6.924,60.922,6.545,9.013,9.8,39.717,47.384,13.85,0,74.364,33.613,5.179,15.981,9.886,-0.475,1.154,8.206,6.06,0.612,2,0,1,0,7,1,7,3.698970004
370,2.397,2.273,-2.259,2.209,-2.393,280.292,15.759,13.978,13.978,9.224,7.449,7.449,6.186,6.186,3.623,3.623,1.582,1.582,26.055,0,34.867,16.724,288.241,1.25,1.85,2.3,-0.65,20,256.176,13121.824,19.35,9.316,123.437,11.817,11.817,-0.631,1.21,81.706,288.432,1,5,5,1,5,10,120,14.743,9.694,13.847,40.908,19.634,9.013,9.8,40.22,46.881,13.85,0,73.861,34.116,5.204,16.083,9.971,-0.477,0.097,11.059,4.053,0.612,2,0,2,0,7,1,7,3.698970004
371,2.443,2.27,-2.218,2.208,-2.375,265.844,15.596,13.738,13.738,9.368,7.652,7.652,5.721,5.721,3.722,3.722,1.616,1.616,32.6,0,20.771,24.064,288.241,1.3,1.9,2.4,-0.65,20,256.176,15877.848,19.35,10.131,123.227,11.737,11.737,-0.65,1.258,81.696,288.432,2,5,5,2,5,11,120,20.06,4.795,20.771,33.358,19.634,9.802,10.217,47.143,39.331,13.55,5.317,61.41,41.04,5.141,14.046,12.941,-0.476,0.077,14.271,0,0.443,1,1,1,0,7,1,7,3.698970004
372,2.345,2.27,-2.213,2.208,-2.346,255.076,14.889,13.031,13.031,8.792,7,7,5.851,5.851,3.182,3.182,1.359,1.359,25.931,0,34.867,10.217,274.226,1.421,2.053,2.579,-0.65,19,244.165,8513.585,18.35,9.285,116.862,11.692,11.692,-0.643,0.868,77.079,274.405,2,5,5,2,5,10,114,20.06,4.795,6.924,53.874,6.545,8.967,10.217,39.717,40.336,13.632,5.317,62.416,33.613,5.118,13.81,12.844,-0.473,1.114,8.023,4.063,0.457,1,1,0,0,7,1,7,3.698970004
373,2.478,2.27,-2.215,2.208,-2.35,278.696,16.303,14.445,14.445,9.868,8.152,8.152,6.074,6.074,3.946,3.946,1.807,1.807,39.021,0,20.771,24.064,302.257,1.286,1.905,2.429,-0.65,21,268.187,26051.07,20.35,10.989,129.592,11.758,11.758,-0.643,1.648,86.313,302.459,2,5,5,2,5,12,126,20.06,4.795,20.771,52.868,6.545,10.649,10.217,53.564,39.331,13.476,5.317,61.41,47.46,5.152,14.126,12.984,-0.475,1.137,14.57,0,0.424,1,1,0,0,7,1,7,3.698970004
374,2.971,2.27,-2.212,2.208,-2.343,404.306,15.717,13.21,13.21,9.954,7.472,7.472,5.848,5.848,3.552,3.552,1.645,1.645,19.51,0,31.535,10.301,297.205,1.524,2.286,2.905,-1.4,21,270.183,47971.192,17.651,8.791,126.069,11.746,11.746,-0.671,1.203,80.752,297.399,2,6,6,2,6,10,120,19.727,4.795,6.924,33.234,25.483,7.389,14.868,46.262,19.696,13.143,5.317,46.427,33.613,7.141,15.717,12.914,-0.488,6.451,7.776,0,0.501,2,1,0,0,7,1,7,3.698970004
375,2.5,2.27,-2.213,2.208,-2.347,309.459,17.717,15.652,15.652,10.792,8.707,8.707,6.954,6.954,3.889,3.889,1.823,1.823,45.441,0,20.771,29.629,331.283,1.174,1.783,2.391,-0.69,23,294.205,62231.189,22.31,12.699,141.507,11.779,11.779,-0.653,0.848,94.565,331.501,3,6,6,3,6,14,138,25.377,4.795,6.924,73.384,6.545,12.318,15.533,46.138,53.426,13.348,10.634,75.506,40.034,5.156,13.958,16.376,-0.481,2.233,10.098,4.158,0.324,1,2,0,0,7,1,7,3.698970004
376,2.321,2.272,-2.24,2.209,-2.364,224.704,13.475,11.824,11.824,7.868,6.445,6.445,4.976,4.976,3.207,3.207,1.344,1.344,19.51,0,34.619,4.9,245.199,1.294,1.824,2.235,-0.61,17,218.147,3537.703,16.39,7.665,104.948,11.678,11.678,-0.605,1.668,68.826,245.363,1,4,4,1,4,8,102,14.743,4.795,20.771,33.358,6.545,7.39,4.9,47.143,26.241,13.824,0,48.321,41.04,5.134,13.779,9.75,-0.463,0.129,12.159,0,0.661,1,0,1,0,6,2,3,3.698970004
377,2.36,2.273,-2.253,2.209,-2.373,247.775,14.889,13.238,13.238,8.868,7.445,7.445,5.79,5.79,3.392,3.392,1.789,1.789,32.352,0,20.771,18.747,273.23,1.211,1.737,2.158,-0.61,19,242.169,9084.224,18.39,9.319,117.678,11.791,11.791,-0.602,2.449,78.06,273.417,1,4,4,1,4,10,114,14.743,4.795,20.771,46.199,6.545,9.019,4.9,59.985,26.241,13.632,0,48.321,53.881,5.201,14.002,9.941,-0.466,2.263,12.538,0,0.621,1,0,0,0,6,2,3,3.698970004
378,2.467,2.273,-2.258,2.21,-2.375,271.209,16.303,14.652,14.652,9.868,8.445,8.445,6.497,6.497,3.968,3.968,1.92,1.92,45.194,0,20.771,18.747,301.262,1.143,1.667,2.095,-0.61,21,266.191,25229.63,20.39,11.023,130.407,11.883,11.883,-0.602,3.229,87.294,301.471,1,4,4,1,4,12,126,14.743,4.795,33.613,46.199,6.545,10.703,4.9,72.827,26.241,13.476,0,48.321,66.723,5.254,14.157,10.087,-0.468,4.714,12.731,0,0.562,1,0,0,2,6,2,3,3.698970004
379,2.593,2.274,-2.261,2.21,-2.376,319.103,19.132,17.481,17.481,11.868,10.445,10.445,7.912,7.912,4.968,4.968,2.681,2.681,19.51,51.367,20.771,18.747,357.324,0.96,1.48,1.92,-0.61,25,314.235,181129.343,24.39,14.548,155.867,12.027,12.027,-0.603,4.789,105.762,357.579,1,4,4,1,4,16,150,14.743,4.795,59.296,46.199,6.545,14.193,4.9,98.51,26.241,13.24,0,48.321,92.406,5.331,14.369,10.293,-0.473,10.011,12.934,0,0.319,1,0,0,6,6,2,3,3.698970004
380,2.257,2.269,-2.212,2.208,-2.34,204.441,12.604,10.877,10.877,7.436,5.996,5.996,4.694,4.694,2.65,2.65,1.016,1.016,19.386,0,20.771,12.241,231.183,1.438,2.062,2.562,-0.61,16,206.136,2263.954,15.39,7.629,98.373,11.577,11.577,-0.622,1.326,64.199,231.336,2,4,4,2,4,8,96,15.16,4.795,13.847,33.234,6.545,7.338,5.317,46.641,19.696,13.562,5.317,36.876,40.537,5.061,11.577,12.593,-0.462,1.133,9.093,0,0.489,0,1,0,0,6,2,3,5.176091259
381,2.311,2.269,-2.212,2.208,-2.341,216.71,13.312,11.584,11.584,7.936,6.496,6.496,5.047,5.047,2.93,2.93,1.141,1.141,25.807,0,20.771,12.241,245.199,1.412,2.059,2.588,-0.61,17,218.147,3754.895,16.39,8.476,104.738,11.623,11.623,-0.622,1.716,68.816,245.363,2,4,4,2,4,9,102,15.16,4.795,20.268,33.234,6.545,8.172,5.317,53.061,19.696,13.471,5.317,36.876,46.957,5.088,11.623,12.717,-0.463,2.331,9.197,0,0.479,0,1,0,1,6,2,3,6.176091259
382,2.393,2.27,-2.212,2.208,-2.341,241.545,14.726,12.998,12.998,8.936,7.496,7.496,5.755,5.755,3.43,3.43,1.516,1.516,19.386,19.262,20.771,12.241,273.23,1.263,1.947,2.526,-0.61,19,242.169,10179.485,18.39,10.21,117.468,11.695,11.695,-0.622,2.497,78.05,273.417,2,4,4,2,4,11,114,15.16,4.795,33.11,33.234,6.545,9.882,5.317,65.903,19.696,13.316,5.317,36.876,59.799,5.126,11.695,12.879,-0.465,4.947,9.307,0,0.448,0,1,0,3,6,2,3,3.698970004
383,2.328,2.272,-2.241,2.209,-2.373,267.417,15.052,13.271,13.271,8.686,6.873,6.873,6.055,6.055,3.295,3.295,1.386,1.386,19.51,0,46.814,4.9,274.226,1.263,1.842,2.316,-0.65,19,244.165,7512.061,18.35,8.507,117.072,11.747,11.747,-0.635,0.82,77.089,274.405,1,5,5,1,5,9,114,19.643,4.795,6.924,41.411,19.634,8.216,9.8,33.296,47.384,13.947,0,74.364,27.192,5.16,15.869,9.84,-0.476,0.091,8.037,5.974,0.631,2,0,2,0,6,2,3,3.698970004
384,2.347,2.272,-2.237,2.209,-2.357,280.292,15.759,13.978,13.978,9.186,7.373,7.373,6.409,6.409,3.511,3.511,1.672,1.672,25.931,0,41.914,9.8,288.241,1.25,1.85,2.35,-0.65,20,256.176,12137.112,19.35,9.316,123.437,11.781,11.781,-0.629,1.21,81.706,288.432,1,5,5,1,5,10,120,19.643,4.795,6.924,60.922,6.545,9.013,9.8,39.717,47.384,13.85,0,74.364,33.613,5.179,15.981,9.886,-0.475,1.154,8.206,6.06,0.612,2,0,1,0,6,2,3,3.698970004
385,2.397,2.273,-2.259,2.209,-2.393,280.292,15.759,13.978,13.978,9.224,7.449,7.449,6.186,6.186,3.623,3.623,1.582,1.582,26.055,0,34.867,16.724,288.241,1.25,1.85,2.3,-0.65,20,256.176,13121.824,19.35,9.316,123.437,11.817,11.817,-0.631,1.21,81.706,288.432,1,5,5,1,5,10,120,14.743,9.694,13.847,40.908,19.634,9.013,9.8,40.22,46.881,13.85,0,73.861,34.116,5.204,16.083,9.971,-0.477,0.097,11.059,4.053,0.612,2,0,2,0,6,2,3,3.698970004
386,2.443,2.27,-2.218,2.208,-2.375,265.844,15.596,13.738,13.738,9.368,7.652,7.652,5.721,5.721,3.722,3.722,1.616,1.616,32.6,0,20.771,24.064,288.241,1.3,1.9,2.4,-0.65,20,256.176,15877.848,19.35,10.131,123.227,11.737,11.737,-0.65,1.258,81.696,288.432,2,5,5,2,5,11,120,20.06,4.795,20.771,33.358,19.634,9.802,10.217,47.143,39.331,13.55,5.317,61.41,41.04,5.141,14.046,12.941,-0.476,0.077,14.271,0,0.443,1,1,1,0,6,2,3,3.698970004
387,2.345,2.27,-2.213,2.208,-2.346,255.076,14.889,13.031,13.031,8.792,7,7,5.851,5.851,3.182,3.182,1.359,1.359,25.931,0,34.867,10.217,274.226,1.421,2.053,2.579,-0.65,19,244.165,8513.585,18.35,9.285,116.862,11.692,11.692,-0.643,0.868,77.079,274.405,2,5,5,2,5,10,114,20.06,4.795,6.924,53.874,6.545,8.967,10.217,39.717,40.336,13.632,5.317,62.416,33.613,5.118,13.81,12.844,-0.473,1.114,8.023,4.063,0.457,1,1,0,0,6,2,3,3.698970004
388,2.478,2.27,-2.215,2.208,-2.35,278.696,16.303,14.445,14.445,9.868,8.152,8.152,6.074,6.074,3.946,3.946,1.807,1.807,39.021,0,20.771,24.064,302.257,1.286,1.905,2.429,-0.65,21,268.187,26051.07,20.35,10.989,129.592,11.758,11.758,-0.643,1.648,86.313,302.459,2,5,5,2,5,12,126,20.06,4.795,20.771,52.868,6.545,10.649,10.217,53.564,39.331,13.476,5.317,61.41,47.46,5.152,14.126,12.984,-0.475,1.137,14.57,0,0.424,1,1,0,0,6,2,3,3.698970004
389,2.971,2.27,-2.212,2.208,-2.343,404.306,15.717,13.21,13.21,9.954,7.472,7.472,5.848,5.848,3.552,3.552,1.645,1.645,19.51,0,31.535,10.301,297.205,1.524,2.286,2.905,-1.4,21,270.183,47971.192,17.651,8.791,126.069,11.746,11.746,-0.671,1.203,80.752,297.399,2,6,6,2,6,10,120,19.727,4.795,6.924,33.234,25.483,7.389,14.868,46.262,19.696,13.143,5.317,46.427,33.613,7.141,15.717,12.914,-0.488,6.451,7.776,0,0.501,2,1,0,0,6,2,3,3.698970004
390,2.5,2.27,-2.213,2.208,-2.347,309.459,17.717,15.652,15.652,10.792,8.707,8.707,6.954,6.954,3.889,3.889,1.823,1.823,45.441,0,20.771,29.629,331.283,1.174,1.783,2.391,-0.69,23,294.205,62231.189,22.31,12.699,141.507,11.779,11.779,-0.653,0.848,94.565,331.501,3,6,6,3,6,14,138,25.377,4.795,6.924,73.384,6.545,12.318,15.533,46.138,53.426,13.348,10.634,75.506,40.034,5.156,13.958,16.376,-0.481,2.233,10.098,4.158,0.324,1,2,0,0,6,2,3,3.698970004
391,2.321,2.272,-2.24,2.209,-2.364,224.704,13.475,11.824,11.824,7.868,6.445,6.445,4.976,4.976,3.207,3.207,1.344,1.344,19.51,0,34.619,4.9,245.199,1.294,1.824,2.235,-0.61,17,218.147,3537.703,16.39,7.665,104.948,11.678,11.678,-0.605,1.668,68.826,245.363,1,4,4,1,4,8,102,14.743,4.795,20.771,33.358,6.545,7.39,4.9,47.143,26.241,13.824,0,48.321,41.04,5.134,13.779,9.75,-0.463,0.129,12.159,0,0.661,1,0,1,0,4,4,1,3.698970004
392,2.36,2.273,-2.253,2.209,-2.373,247.775,14.889,13.238,13.238,8.868,7.445,7.445,5.79,5.79,3.392,3.392,1.789,1.789,32.352,0,20.771,18.747,273.23,1.211,1.737,2.158,-0.61,19,242.169,9084.224,18.39,9.319,117.678,11.791,11.791,-0.602,2.449,78.06,273.417,1,4,4,1,4,10,114,14.743,4.795,20.771,46.199,6.545,9.019,4.9,59.985,26.241,13.632,0,48.321,53.881,5.201,14.002,9.941,-0.466,2.263,12.538,0,0.621,1,0,0,0,4,4,1,3.698970004
393,2.467,2.273,-2.258,2.21,-2.375,271.209,16.303,14.652,14.652,9.868,8.445,8.445,6.497,6.497,3.968,3.968,1.92,1.92,45.194,0,20.771,18.747,301.262,1.143,1.667,2.095,-0.61,21,266.191,25229.63,20.39,11.023,130.407,11.883,11.883,-0.602,3.229,87.294,301.471,1,4,4,1,4,12,126,14.743,4.795,33.613,46.199,6.545,10.703,4.9,72.827,26.241,13.476,0,48.321,66.723,5.254,14.157,10.087,-0.468,4.714,12.731,0,0.562,1,0,0,2,4,4,1,3.698970004
394,2.593,2.274,-2.261,2.21,-2.376,319.103,19.132,17.481,17.481,11.868,10.445,10.445,7.912,7.912,4.968,4.968,2.681,2.681,19.51,51.367,20.771,18.747,357.324,0.96,1.48,1.92,-0.61,25,314.235,181129.343,24.39,14.548,155.867,12.027,12.027,-0.603,4.789,105.762,357.579,1,4,4,1,4,16,150,14.743,4.795,59.296,46.199,6.545,14.193,4.9,98.51,26.241,13.24,0,48.321,92.406,5.331,14.369,10.293,-0.473,10.011,12.934,0,0.319,1,0,0,6,4,4,1,4.176091259
395,2.257,2.269,-2.212,2.208,-2.34,204.441,12.604,10.877,10.877,7.436,5.996,5.996,4.694,4.694,2.65,2.65,1.016,1.016,19.386,0,20.771,12.241,231.183,1.438,2.062,2.562,-0.61,16,206.136,2263.954,15.39,7.629,98.373,11.577,11.577,-0.622,1.326,64.199,231.336,2,4,4,2,4,8,96,15.16,4.795,13.847,33.234,6.545,7.338,5.317,46.641,19.696,13.562,5.317,36.876,40.537,5.061,11.577,12.593,-0.462,1.133,9.093,0,0.489,0,1,0,0,4,4,1,6.176091259
396,2.311,2.269,-2.212,2.208,-2.341,216.71,13.312,11.584,11.584,7.936,6.496,6.496,5.047,5.047,2.93,2.93,1.141,1.141,25.807,0,20.771,12.241,245.199,1.412,2.059,2.588,-0.61,17,218.147,3754.895,16.39,8.476,104.738,11.623,11.623,-0.622,1.716,68.816,245.363,2,4,4,2,4,9,102,15.16,4.795,20.268,33.234,6.545,8.172,5.317,53.061,19.696,13.471,5.317,36.876,46.957,5.088,11.623,12.717,-0.463,2.331,9.197,0,0.479,0,1,0,1,4,4,1,4.176091259
397,2.393,2.27,-2.212,2.208,-2.341,241.545,14.726,12.998,12.998,8.936,7.496,7.496,5.755,5.755,3.43,3.43,1.516,1.516,19.386,19.262,20.771,12.241,273.23,1.263,1.947,2.526,-0.61,19,242.169,10179.485,18.39,10.21,117.468,11.695,11.695,-0.622,2.497,78.05,273.417,2,4,4,2,4,11,114,15.16,4.795,33.11,33.234,6.545,9.882,5.317,65.903,19.696,13.316,5.317,36.876,59.799,5.126,11.695,12.879,-0.465,4.947,9.307,0,0.448,0,1,0,3,4,4,1,3.698970004
398,2.328,2.272,-2.241,2.209,-2.373,267.417,15.052,13.271,13.271,8.686,6.873,6.873,6.055,6.055,3.295,3.295,1.386,1.386,19.51,0,46.814,4.9,274.226,1.263,1.842,2.316,-0.65,19,244.165,7512.061,18.35,8.507,117.072,11.747,11.747,-0.635,0.82,77.089,274.405,1,5,5,1,5,9,114,19.643,4.795,6.924,41.411,19.634,8.216,9.8,33.296,47.384,13.947,0,74.364,27.192,5.16,15.869,9.84,-0.476,0.091,8.037,5.974,0.631,2,0,2,0,4,4,1,3.698970004
399,2.347,2.272,-2.237,2.209,-2.357,280.292,15.759,13.978,13.978,9.186,7.373,7.373,6.409,6.409,3.511,3.511,1.672,1.672,25.931,0,41.914,9.8,288.241,1.25,1.85,2.35,-0.65,20,256.176,12137.112,19.35,9.316,123.437,11.781,11.781,-0.629,1.21,81.706,288.432,1,5,5,1,5,10,120,19.643,4.795,6.924,60.922,6.545,9.013,9.8,39.717,47.384,13.85,0,74.364,33.613,5.179,15.981,9.886,-0.475,1.154,8.206,6.06,0.612,2,0,1,0,4,4,1,3.698970004
400,2.397,2.273,-2.259,2.209,-2.393,280.292,15.759,13.978,13.978,9.224,7.449,7.449,6.186,6.186,3.623,3.623,1.582,1.582,26.055,0,34.867,16.724,288.241,1.25,1.85,2.3,-0.65,20,256.176,13121.824,19.35,9.316,123.437,11.817,11.817,-0.631,1.21,81.706,288.432,1,5,5,1,5,10,120,14.743,9.694,13.847,40.908,19.634,9.013,9.8,40.22,46.881,13.85,0,73.861,34.116,5.204,16.083,9.971,-0.477,0.097,11.059,4.053,0.612,2,0,2,0,4,4,1,3.698970004
401,2.443,2.27,-2.218,2.208,-2.375,265.844,15.596,13.738,13.738,9.368,7.652,7.652,5.721,5.721,3.722,3.722,1.616,1.616,32.6,0,20.771,24.064,288.241,1.3,1.9,2.4,-0.65,20,256.176,15877.848,19.35,10.131,123.227,11.737,11.737,-0.65,1.258,81.696,288.432,2,5,5,2,5,11,120,20.06,4.795,20.771,33.358,19.634,9.802,10.217,47.143,39.331,13.55,5.317,61.41,41.04,5.141,14.046,12.941,-0.476,0.077,14.271,0,0.443,1,1,1,0,4,4,1,3.698970004
402,2.345,2.27,-2.213,2.208,-2.346,255.076,14.889,13.031,13.031,8.792,7,7,5.851,5.851,3.182,3.182,1.359,1.359,25.931,0,34.867,10.217,274.226,1.421,2.053,2.579,-0.65,19,244.165,8513.585,18.35,9.285,116.862,11.692,11.692,-0.643,0.868,77.079,274.405,2,5,5,2,5,10,114,20.06,4.795,6.924,53.874,6.545,8.967,10.217,39.717,40.336,13.632,5.317,62.416,33.613,5.118,13.81,12.844,-0.473,1.114,8.023,4.063,0.457,1,1,0,0,4,4,1,3.698970004
403,2.478,2.27,-2.215,2.208,-2.35,278.696,16.303,14.445,14.445,9.868,8.152,8.152,6.074,6.074,3.946,3.946,1.807,1.807,39.021,0,20.771,24.064,302.257,1.286,1.905,2.429,-0.65,21,268.187,26051.07,20.35,10.989,129.592,11.758,11.758,-0.643,1.648,86.313,302.459,2,5,5,2,5,12,126,20.06,4.795,20.771,52.868,6.545,10.649,10.217,53.564,39.331,13.476,5.317,61.41,47.46,5.152,14.126,12.984,-0.475,1.137,14.57,0,0.424,1,1,0,0,4,4,1,3.698970004
404,2.971,2.27,-2.212,2.208,-2.343,404.306,15.717,13.21,13.21,9.954,7.472,7.472,5.848,5.848,3.552,3.552,1.645,1.645,19.51,0,31.535,10.301,297.205,1.524,2.286,2.905,-1.4,21,270.183,47971.192,17.651,8.791,126.069,11.746,11.746,-0.671,1.203,80.752,297.399,2,6,6,2,6,10,120,19.727,4.795,6.924,33.234,25.483,7.389,14.868,46.262,19.696,13.143,5.317,46.427,33.613,7.141,15.717,12.914,-0.488,6.451,7.776,0,0.501,2,1,0,0,4,4,1,3.698970004
405,2.5,2.27,-2.213,2.208,-2.347,309.459,17.717,15.652,15.652,10.792,8.707,8.707,6.954,6.954,3.889,3.889,1.823,1.823,45.441,0,20.771,29.629,331.283,1.174,1.783,2.391,-0.69,23,294.205,62231.189,22.31,12.699,141.507,11.779,11.779,-0.653,0.848,94.565,331.501,3,6,6,3,6,14,138,25.377,4.795,6.924,73.384,6.545,12.318,15.533,46.138,53.426,13.348,10.634,75.506,40.034,5.156,13.958,16.376,-0.481,2.233,10.098,4.158,0.324,1,2,0,0,4,4,1,3.698970004
406,2.321,2.272,-2.24,2.209,-2.364,224.704,13.475,11.824,11.824,7.868,6.445,6.445,4.976,4.976,3.207,3.207,1.344,1.344,19.51,0,34.619,4.9,245.199,1.294,1.824,2.235,-0.61,17,218.147,3537.703,16.39,7.665,104.948,11.678,11.678,-0.605,1.668,68.826,245.363,1,4,4,1,4,8,102,14.743,4.795,20.771,33.358,6.545,7.39,4.9,47.143,26.241,13.824,0,48.321,41.04,5.134,13.779,9.75,-0.463,0.129,12.159,0,0.661,1,0,1,0,2,6,0.333333333,3.698970004
407,2.36,2.273,-2.253,2.209,-2.373,247.775,14.889,13.238,13.238,8.868,7.445,7.445,5.79,5.79,3.392,3.392,1.789,1.789,32.352,0,20.771,18.747,273.23,1.211,1.737,2.158,-0.61,19,242.169,9084.224,18.39,9.319,117.678,11.791,11.791,-0.602,2.449,78.06,273.417,1,4,4,1,4,10,114,14.743,4.795,20.771,46.199,6.545,9.019,4.9,59.985,26.241,13.632,0,48.321,53.881,5.201,14.002,9.941,-0.466,2.263,12.538,0,0.621,1,0,0,0,2,6,0.333333333,3.698970004
408,2.467,2.273,-2.258,2.21,-2.375,271.209,16.303,14.652,14.652,9.868,8.445,8.445,6.497,6.497,3.968,3.968,1.92,1.92,45.194,0,20.771,18.747,301.262,1.143,1.667,2.095,-0.61,21,266.191,25229.63,20.39,11.023,130.407,11.883,11.883,-0.602,3.229,87.294,301.471,1,4,4,1,4,12,126,14.743,4.795,33.613,46.199,6.545,10.703,4.9,72.827,26.241,13.476,0,48.321,66.723,5.254,14.157,10.087,-0.468,4.714,12.731,0,0.562,1,0,0,2,2,6,0.333333333,3.698970004
409,2.593,2.274,-2.261,2.21,-2.376,319.103,19.132,17.481,17.481,11.868,10.445,10.445,7.912,7.912,4.968,4.968,2.681,2.681,19.51,51.367,20.771,18.747,357.324,0.96,1.48,1.92,-0.61,25,314.235,181129.343,24.39,14.548,155.867,12.027,12.027,-0.603,4.789,105.762,357.579,1,4,4,1,4,16,150,14.743,4.795,59.296,46.199,6.545,14.193,4.9,98.51,26.241,13.24,0,48.321,92.406,5.331,14.369,10.293,-0.473,10.011,12.934,0,0.319,1,0,0,6,2,6,0.333333333,3.698970004
410,2.257,2.269,-2.212,2.208,-2.34,204.441,12.604,10.877,10.877,7.436,5.996,5.996,4.694,4.694,2.65,2.65,1.016,1.016,19.386,0,20.771,12.241,231.183,1.438,2.062,2.562,-0.61,16,206.136,2263.954,15.39,7.629,98.373,11.577,11.577,-0.622,1.326,64.199,231.336,2,4,4,2,4,8,96,15.16,4.795,13.847,33.234,6.545,7.338,5.317,46.641,19.696,13.562,5.317,36.876,40.537,5.061,11.577,12.593,-0.462,1.133,9.093,0,0.489,0,1,0,0,2,6,0.333333333,5.176091259
